Forage,Season,Location,Sell,Uses
Wild Horseradish,Spring,"Secret Woods (52%),  Cindersap Forest (50%),  Backwoods (42%),  Mountain (42%),  Forest Farm (25%)","50g, 62g, 75g, 100g","Spring Seeds, Spring Foraging Bundle, Krobus (loved gift)"
Daffodil,Spring,"Pelican Town (100%),  Bus Stop (45%),  Railroad (45%)","30g, 37g, 45g, 60g","Spring Seeds, Spring Foraging Bundle, Sandy (loved gift)"
Leek,Spring,"Backwoods (58%),  Mountain (58%),  Forest Farm (25%),  Bus Stop (20%),  Railroad (20%)","60g, 75g, 90g, 120g","Salad, Spring Seeds, Spring Foraging Bundle, George (loved gift)"
Dandelion,Spring,"Cindersap Forest (50%),  Bus Stop (35%),  Railroad (35%),  Forest Farm (25%)","40g, 50g, 60g, 80g","Salad, Spring Seeds, Spring Foraging Bundle"
Spring Onion,Spring,Cindersap Forest,"8g, 10g, 12g, 16g",
Morel,Spring,"Secret Woods (32%),  Forest Farm (25%)","150g, 187g, 225g, 300g","Fried Mushroom, Life Elixir, Exotic Foraging Bundle"
Common Mushroom,Spring,Secret Woods (16%),"40g, 50g, 60g, 80g","Fried Mushroom, Stir Fry, Tom Kha Soup, Fall Foraging Bundle"
Salmonberry,Spring,On bushes during Salmonberry Season (Spring 15 - 18).,"5g, 6g, 7g, 10g","Jelly, Wine"
Spice Berry,Summer,"Cindersap Forest (40%),  Backwoods (38%),  Mountain (38%),  Bus Stop (27%),  Railroad (27%),  Forest Farm (25%)","80g, 100g, 120g, 160g","Summer Seeds, Summer Foraging Bundle, Jelly, Wine"
Grape,Summer,"Backwoods (62%),  Mountain (62%),  Bus Stop (27%),  Railroad (27%),  Forest Farm (25%)","80g, 100g, 120g, 160g","Summer Seeds, Summer Foraging Bundle, Vincent (loved gift), Jelly, Wine"
Sweet Pea,Summer,"Pelican Town (100%),  Cindersap Forest (60%),  Bus Stop (47%),  Railroad (47%),  Forest Farm (25%)","50g, 62g, 75g, 100g","Summer Seeds, Summer Foraging Bundle, Sandy (loved gift)"
Red Mushroom,Summer,Secret Woods (22%),"75g, 93g, 112g, 150g","Dye Bundle, Exotic Foraging Bundle, Life Elixir"
Fiddlehead Fern,Summer,Secret Woods (78%),"90g, 112g, 135g, 180g","Fiddlehead Risotto, Chef's Bundle, Pickles, Juice"
Common Mushroom,Summer,Forest Farm (25%),"40g, 50g, 60g, 80g","Fried Mushroom, Stir Fry, Tom Kha Soup, Fall Foraging Bundle"
Wild Plum,Fall,"Bus Stop (60%),  Railroad (38%),  Backwoods (24%),  Mountain (24%)","80g, 100g, 120g, 160g","Fall Seeds, Plum Pudding, Fall Foraging Bundle, Jelly, Wine"
Hazelnut,Fall,"Backwoods (53%),  Mountain (53%),  Bus Stop (40%),  Railroad (25%),  Shaking Maple Trees on or after Fall 14","90g, 112g, 135g, 180g","Fall Seeds, Roasted Hazelnuts, Stuffing, Fall Foraging Bundle"
Blackberry,Fall,"Pelican Town (100%),  Cindersap Forest (50%),  Railroad (38%),  On bushes during Blackberry Season (Fall 8 - 11)","20g, 25g, 30g, 40g","Fall Seeds, Blackberry Cobbler, Fall Foraging Bundle, Jelly, Wine"
Chanterelle,Fall,"Secret Woods (38%),  Forest Farm (25%)","160g, 200g, 240g, 320g",Life Elixir
Common Mushroom,Fall,"Cindersap Forest (50%),  Secret Woods (46%),  Forest Farm (25%),  Mountain (24%),  Backwoods (24%)","40g, 50g, 60g, 80g","Fall Seeds, Fried Mushroom, Tom Kha Soup, Stir Fry, Fall Foraging Bundle"
Red Mushroom,Fall,"Forest Farm (25%),  Secret Woods (15%)","75g, 93g, 112g, 150g","Dye Bundle, Exotic Foraging Bundle, Life Elixir"
Purple Mushroom,Fall,Forest Farm (25%),"250g, 312g, 375g, 500g","Exotic Foraging Bundle, Field Research Bundle, Life Elixir, Wizard (loved gift)"
Winter Root,Winter,Tilling soil throughout Stardew Valley,"70g, 87g, 105g, 140g","Winter Seeds, Roots Platter, Winter Foraging Bundle"
Crystal Fruit,Winter,"Railroad (50%),  Cindersap Forest (39%),  Mountain (38%),  Bus Stop (23%),  Backwoods (22%),  Pelican Town (8%)","150g, 187g, 225g, 300g","Winter Seeds, Winter Foraging Bundle, Jelly, Wine"
Snow Yam,Winter,Tilling soil throughout Stardew Valley,"100g, 125g, 150g, 200g","Winter Seeds, Winter Foraging Bundle"
Crocus,Winter,"Pelican Town (54%),  Railroad (50%),  Bus Stop (42%),  Mountain (40%),  Cindersap Forest (39%),  Backwoods (35%)","60g, 75g, 90g, 120g","Winter Seeds, Winter Foraging Bundle, Sandy (loved gift)"
Holly,Winter,"Secret Woods (100%),  Backwoods (43%),  Pelican Town (38%),  Bus Stop (35%),  Cindersap Forest (22%),  Mountain (22%)","80g, 100g, 120g, 160g",
